date,close,high,low,open,volume
2024-06-21,2316.40,2331.20,2316.40,2331.20,76.00
2024-06-24,2330.00,2332.90,2322.70,2323.30,99.00
2024-06-25,2316.60,2333.00,2316.60,2324.40,105.00
2024-06-26,2299.20,2314.40,2298.00,2307.90,986.00
2024-06-27,2324.50,2329.00,2295.00,2296.80,1532.00
2024-06-28,2327.70,2338.30,2319.00,2325.40,92.00
2024-07-01,2327.60,2329.70,2321.70,2323.80,237.00
2024-07-02,2323.00,2334.60,2323.00,2330.70,30.00
2024-07-03,2359.80,2361.60,2330.90,2330.90,59.00
2024-07-05,2388.50,2388.50,2354.90,2354.90,72.00
2024-07-08,2355.20,2383.80,2352.80,2381.70,64.00
2024-07-09,2360.10,2363.70,2360.10,2363.10,9.00
2024-07-10,2372.20,2377.00,2365.80,2366.30,19.00
2024-07-11,2415.00,2416.70,2378.70,2378.70,72.00
2024-07-12,2414.00,2414.00,2391.30,2399.80,355.00
2024-07-15,2422.90,2436.00,2422.90,2430.00,540.00
2024-07-16,2462.40,2462.40,2427.40,2427.40,93.00
2024-07-17,2454.80,2473.10,2454.80,2472.90,10.00
2024-07-18,2451.80,2466.00,2451.80,2466.00,2.00
2024-07-19,2395.50,2419.20,2395.50,2418.80,15.00
2024-07-22,2392.00,2402.10,2392.00,2402.10,18.00
2024-07-23,2404.60,2404.60,2388.70,2395.80,41.00
2024-07-24,2413.30,2421.00,2411.60,2421.00,6.00
2024-07-25,2351.90,2365.50,2351.90,2365.50,31.00
2024-07-26,2380.00,2386.90,2368.70,2368.70,95.00
2024-07-29,2377.30,2377.30,2377.30,2377.30,126409.00
2024-07-30,2405.00,2409.30,2373.80,2380.90,25944.00
2024-07-31,2426.50,2447.60,2402.80,2407.10,1313.00
2024-08-01,2435.00,2455.10,2430.40,2446.70,690.00
2024-08-02,2425.70,2477.00,2416.00,2444.00,550.00
2024-08-05,2401.70,2449.80,2367.40,2442.00,334.00
2024-08-06,2389.10,2421.80,2380.00,2414.50,163.00
2024-08-07,2390.50,2401.00,2384.50,2392.20,130.00
2024-08-08,2422.20,2422.80,2384.30,2384.30,201.00
2024-08-09,2432.10,2432.10,2418.50,2422.30,611.00
2024-08-12,2462.40,2469.80,2432.00,2432.70,566.00
2024-08-13,2466.70,2470.00,2456.50,2461.00,510.00
2024-08-14,2439.40,2472.10,2439.40,2468.00,274.00
2024-08-15,2453.10,2467.70,2431.20,2451.80,285.00
2024-08-16,2498.60,2508.00,2451.40,2453.50,197.00
2024-08-19,2501.80,2508.50,2487.20,2508.50,88.00
2024-08-20,2511.30,2527.30,2500.70,2503.50,187.00
2024-08-21,2508.40,2515.40,2503.90,2511.00,96.00
2024-08-22,2478.90,2504.10,2471.10,2504.10,210.00
2024-08-23,2508.40,2508.40,2486.50,2486.50,94.00
2024-08-26,2517.70,2523.10,2509.10,2509.90,290.00
2024-08-27,2516.00,2523.10,2506.90,2515.20,100.00
2024-08-28,2501.00,2501.00,2501.00,2501.00,2353.00
2024-08-29,2525.70,2525.70,2503.90,2504.10,3966.00
2024-08-30,2493.80,2525.40,2493.80,2519.50,208.00
2024-09-03,2489.90,2501.80,2476.30,2501.60,206.00
